title,author_name,length
Dark Horse: Ek Ankahi Dastan (Hindi Edition),Nilotpal Mrinal,Length: 6 hrs and 13 mins
Nudge,"Richard H. Thaler,Cass R. Sunstein",Length: 11 hrs and 26 mins
Gauri (Hindi Edition),Subhadra Kumari Chauhan,Length: 3 hrs and 52 mins
The Nine Lives of Pakistan,Declan Walsh,Length: 11 hrs and 13 mins
Napoleon Hill's Master Course,Napoleon Hill,Length: 15 hrs and 46 mins
One Indian Girl,Chetan Bhagat,Length: 9 hrs and 52 mins
Time Management (Hindi Edition),Sudhir Dixit,Length: 2 hrs and 34 mins
Summary of 48 Laws of Power (Hindi Edition),Rainshine Entertainment Private Limited,Length: 40 mins
"Dont Lose Out, Work Out!",Rujuta Diwekar,Length: 7 hrs and 54 mins
Legacy,Shannon Messenger,Length: 22 hrs and 55 mins
How to Win Friends and Influence People (Telugu Edition),Dale Carnegie,Length: 8 hrs and 20 mins
Tigana,Guy Gavriel Kay,Length: 24 hrs and 51 mins
Ajaya Pason ka Khel,Anand Neelakantan,Length: 28 hrs and 5 mins
No Excuses!,Brian Tracy,Length: 6 hrs and 51 mins
Raze,Dakota Krout,Length: 10 hrs and 28 mins
The Shadows of London,Nick Jones,Length: 9 hrs and 36 mins
Vishnu ka Khazana [Vishnu's Treasure],Ashwin Sanghi,Length: 14 hrs and 48 mins
Magadh ka Rahasya [Magadh Mystery],Christopher Doyle,Length: 9 hrs and 37 mins
Messi,"Matt Oldfield,Tom Oldfield",Length: 3 hrs and 15 mins
For the Love of Physics,"Walter Lewin,Warren Goldstein",Length: 10 hrs and 11 mins
Ahankar (Hindi),OSHO,Length: 1 hr and 41 mins
How to Stop Worrying and Start Living (Marathi Edition),Dale Carnegie,Length: 13 hrs and 22 mins
Timeless Wisdom on Finance,Anil Lamba,Length: 1 hr and 49 mins
Product Management for Dummies,"Brian Lawley,Pamela Schure",Length: 12 hrs and 54 mins
Percy Jackson and the Greek Heroes,Rick Riordan,Length: 15 hrs and 46 mins
The Idiot,Fyodor Dostoevsky,Length: 27 hrs and 56 mins
Of Blood and Fire,Ryan Cahill,Length: 16 hrs and 23 mins
Shyamchi Aai (Marathi Edition),Sane Guruji,Length: 9 hrs and 6 mins
Chanakya in Daily Life,Radhakrishnan Pillai,Length: 6 hrs and 41 mins
The Hero and the Hacktivist,Pippa Grant,Length: 7 hrs and 34 mins
MBA Kiye Bina Seekhen Business Ke Hunar [Learn Business Skills Without Getting an MBA],Josh Kaufman,Length: 19 hrs and 17 mins
The Starfish and the Spider,"Ori Brafman,Rod Beckstrom",Length: 5 hrs and 32 mins
The Heartfulness Way,"Kamlesh D. Patel,Joshua Pollock,Varun Soni - foreword,James R. Doty - afterword",Length: 6 hrs and 16 mins
Children of Ruin,Adrian Tchaikovsky,Length: 15 hrs and 25 mins
First World War for Dummies,Dr. Sean Lang,Length: 16 hrs and 11 mins
Ashtavakra Gita,Swami Nityaswarupananda,Length: 8 hrs and 21 mins
The Happy Hooker's Guide to Sex,Xaviera Hollander,Length: 3 hrs and 7 mins
The Secret of the Druids,Christopher C. Doyle,Length: 9 hrs and 7 mins
The White Lotus,OSHO,Length: 20 hrs and 17 mins
Jadugarni [Sorceress],Surender Mohan Pathak,Length: 8 hrs and 24 mins
The Writer on the Hill,Ruskin Bond,Length: 15 hrs and 20 mins
Painted Scars,Neva Altaj,Length: 6 hrs and 25 mins
"Cognitive Behavioural Therapy for Dummies, 3rd Edition","Rhena Branch,Rob Willson",Length: 14 hrs and 59 mins
Bharat ka Rakshak Maharaja Suheldev (Hindi Edition),Amish Tripathi,Length: 12 hrs and 13 mins
Unconditional Parenting,Alfie Kohn,Length: 8 hrs and 41 mins
Haar Jeet [Lose Win],Surender Mohan Pathak,Length: 8 hrs and 34 mins
Bossman,Vi Keeland,Length: 9 hrs and 31 mins
Vipassana Dhyan (Hindi),OSHO,Length: 1 hr and 49 mins
Generative AI on AWS,"Shelbee Eigenbrode,Anje Barth,Chris Fregly",Length: 6 hrs and 44 mins
Do It Now: Overcoming Procrastination,"Fuschia Sirois,The Great Courses",Length: 4 hrs and 11 mins
The Buddha: The Emptiness of the Heart,Osho,Length: 14 hrs and 55 mins
Dracula [Audible Edition],Bram Stoker,Length: 15 hrs and 27 mins
Beware of Chicken: A Xianxia Cultivation Novel,Casualfarmer,Length: 12 hrs and 35 mins
The Bomber Mafia,Malcolm Gladwell,Length: 5 hrs and 14 mins
Kamayani (Hindi Edition),Jaishankar Prasad,Length: 3 hrs and 53 mins
Habit of Winning,Prakash Iyer,Length: 5 hrs and 21 mins
George Orwell’s 1984,"George Orwell,Joe White - adaptation",Length: 3 hrs and 27 mins
Es Dhammo Sanantano Vol. 1,OSHO,Length: 13 hrs and 54 mins
Summary of The Power of Now (Hindi Edition),Priyanka Pareek,Length: 28 mins
Soch Badi Kamyabi Badi (Hindi Edition),Dale Carnegie,Length: 5 hrs and 20 mins
China's Economy,Arthur R. Kroeber,Length: 11 hrs and 31 mins
Ghost Stories of Shimla Hills,Minakshi Chaudhry,Length: 3 hrs and 31 mins
The Power of Self-Confidence,Brian Tracy,Length: 5 hrs and 7 mins
The God Conspiracy,OSHO,Length: 21 hrs and 10 mins
Summary of How to Win Friends and Influence People (Hindi Edition),Abhishek Therkar,Length: 29 mins
The Mysterious Affair at Styles,"Agatha Christie,Anna Lea - adaptation",Length: 3 hrs and 53 mins
Breath By Breath,"Larry Rosenberg,David Guy,Jon Kabat-Zinn - foreward",Length: 7 hrs and 33 mins
The Big Questions of Life,Om Swami,Length: 4 hrs and 49 mins
Without Saying a Word,"Kasia Wezowski,Patryk Wezowski",Length: 4 hrs and 44 mins
Safal Aur Ameer Banane Ke 16 Secrets (Hindi Edition),Napoleon Hill,Length: 3 hrs and 4 mins
The Bomber Mafia,Malcolm Gladwell,Length: 5 hrs and 14 mins
Kamayani (Hindi Edition),Jaishankar Prasad,Length: 3 hrs and 53 mins
Habit of Winning,Prakash Iyer,Length: 5 hrs and 21 mins
Es Dhammo Sanantano Vol. 1,OSHO,Length: 13 hrs and 54 mins
Summary of The Power of Now (Hindi Edition),Priyanka Pareek,Length: 28 mins
Soch Badi Kamyabi Badi (Hindi Edition),Dale Carnegie,Length: 5 hrs and 20 mins
Ghost Stories of Shimla Hills,Minakshi Chaudhry,Length: 3 hrs and 31 mins
The Power of Self-Confidence,Brian Tracy,Length: 5 hrs and 7 mins
The God Conspiracy,OSHO,Length: 21 hrs and 10 mins
Summary of How to Win Friends and Influence People (Hindi Edition),Abhishek Therkar,Length: 29 mins
The Mysterious Affair at Styles,"Agatha Christie,Anna Lea - adaptation",Length: 3 hrs and 53 mins
Breath By Breath,"Larry Rosenberg,David Guy,Jon Kabat-Zinn - foreward",Length: 7 hrs and 33 mins
The Big Questions of Life,Om Swami,Length: 4 hrs and 49 mins
Napoleon Hill's Golden Rules,Napoleon Hill,Length: 6 hrs and 57 mins
The Art of Living,Thích Nhất Hạnh,Length: 5 hrs and 1 min
Jalte Bujhte Log [Burning People],Amrita Pritam,Length: 7 hrs and 3 mins
Sons of Valor,"Brian Andrews,Jeffrey Wilson",Length: 12 hrs and 5 mins
The Last Gambit,Om Swami,Length: 6 hrs and 29 mins
Half Girlfriend,Chetan Bhagat,Length: 8 hrs and 49 mins
The Lean Product Playbook,Dan Olsen,Length: 9 hrs and 54 mins
Self-Care for Adult Children of Emotionally Immature Parents,Lindsay C. Gibson PsyD,Length: 7 hrs and 20 mins
Shodh (Marathi Edition),Murlidhar Khairnar,Length: 23 hrs and 51 mins
The Power of Your Subconscious Mind (Telugu Edition),Joseph Murphy,Length: 8 hrs and 9 mins
Wild Swans,Jung Chang,Length: 27 hrs and 15 mins
The Hidden Power of Gayatri Mantra,Om Swami,Length: 3 hrs and 55 mins
The Success Principles,"Jack Canfield,Janet Switzer",Length: 20 hrs and 54 mins
The Siege,Ben Macintyre,Length: 14 hrs and 27 mins
Summary of The 5 AM Club (Tamil Edition),Ideabrew Studios,Length: 38 mins
Naya Manushya (Hindi),OSHO,Length: 1 hr and 47 mins
"Ponniyin Selvan - Part 4 [The Son of Ponni, Part 4]",Kalki,Length: 11 hrs and 46 mins
Siddhartha (Hindi Edition),Herman Hesse,Length: 5 hrs and 11 mins
"Wet at 40,000 Feet",Shanaya Taneja,Length: 40 mins
The 80/20 Principle and 92 Other Powerful Laws of Nature,Richard Koch,Length: 12 hrs and 10 mins
Nero,S.J. Tilly,Length: 10 hrs and 38 mins
Kabir (Hindi Edition),Kabir,Length: 3 hrs and 44 mins
Going Solo,Roald Dahl,Length: 4 hrs and 38 mins
Railampel (Hindi Edition),"Nilotpal Mrinal,Hind Yugm",Length: 3 hrs and 3 mins
Magnus Chase and the Sword of Summer,Rick Riordan,Length: 15 hrs and 20 mins
The Art and Science of Happiness,Swami Mukundananda,Length: 6 hrs and 16 mins
Echo Burning,Lee Child,Length: 13 hrs and 58 mins
The Truth About Muhammad,Robert Spencer,Length: 6 hrs and 45 mins
The Power Law,Sebastian Mallaby,Length: 16 hrs and 53 mins
The Alexander Secret,Christopher C. Doyle,Length: 10 hrs and 30 mins
The Coldest Case: A Black Book Audio Drama,"James Patterson,Aaron Tracy,Ryan Silbert",Length: 3 hrs and 52 mins
Kundalini Sadhana (Hindi Edition),Om Swami,Length: 5 hrs and 25 mins
The Girl Who Left,Jenny Blackhurst,Length: 9 hrs and 32 mins
The Magicians of Mazda,Ashwin Sanghi,Length: 15 hrs and 58 mins
श्रीमद्भगवद्गीता रहस्य अथवा कर्मयोग शास्त्र [Shrimad Bhagavad Gita Rahasya Athva Karma Yoga Shastra],Bal Gangadhar Tilak,Length: 41 hrs and 11 mins
"Savarkar: Echoes of a Forgotton Past, Vol. 1: Part 1",Vikram Sampath,Length: 12 hrs and 46 mins
Akelapan (Hindi),OSHO,Length: 1 hr and 32 mins
Destroy Me,Michelle Heard,Length: 8 hrs and 2 mins
Katabasis,"Rebecca F. Kuang,Alexandra Jordan - Übersetzer,Heide Franck - Übersetzer",Length: 17 hrs and 35 mins
A Complete Guide to Volume Price Analysis,Anna Coulling,Length: 8 hrs and 23 mins
Not Another Christmas Rom Com,A. J. Pine,Length: 6 hrs and 7 mins
Kulfi and Cappuccino (Hindi Edition),Ashish Chaudhary,Length: 9 hrs and 32 mins
"Right Ho, Jeeves",P. G. Wodehouse,Length: 4 hrs and 48 mins
Treasure Island,"Robert Louis Stevenson,Marty Ross - adaptation",Length: 6 hrs and 23 mins
Vikram and Vetaal,Kevin Missal,Length: 5 hrs and 30 mins
Call Before You Come,Shanaya Taneja,Length: 32 mins
The Opposite of Love,Durjoy Datta,Length: 5 hrs and 1 min
Hemlock & Silver,T. Kingfisher,Length: 11 hrs and 50 mins
Indian Superfoods (Hindi Edition),Rujuta Diwekar,Length: 3 hrs and 40 mins
The Quantum Doctor,"Deepak Chopra - foreword,Amit Goswami",Length: 10 hrs and 36 mins
Boots Belts Berets,Tanushree Podder,Length: 6 hrs and 59 mins
Datta Anubhuti (Marathi Edition),Anand Kamat,Length: 4 hrs and 9 mins
"Ponniyin Selvan - Part 6 [The Son of Ponni, Part 6]",Kalki,Length: 13 hrs and 40 mins
The Anne of Green Gables Collection,L.M. Montgomery,Length: 73 hrs and 19 mins
"No Mud, No Lotus",Thich Nhat Hanh,Length: 3 hrs and 36 mins
Poirot and Holmes,"Arthur Conan Doyle,Agatha Christie",Length: 95 hrs and 35 mins
"The Girl He Never Noticed, Part 2 (Hindi Edition)",Neilani Alejandrino,Length: 6 hrs and 42 mins
Everyday Osho,Osho,Length: 14 hrs and 8 mins
Leaders Eat Last,Simon Sinek,Length: 9 hrs and 23 mins
As a Man Thinketh (Tamil Edition),James Allen,Length: 1 hr and 9 mins
"Mahabharata, Vol. 2 (Part 1)",Bibek Debroy,Length: 6 hrs and 24 mins
"Summary of Men Are from Mars, Women Are from Venus (Hindi Edition)",Sarang Patwarddan,Length: 29 mins
Kadal Pura - Part 1,Sandilyan,Length: 10 hrs and 11 mins
Gauri (Hindi Edition),Subhadra Kumari Chauhan,Length: 3 hrs and 52 mins
How to Train a Wild Elephant & Other Adventures in Mindfulness,Jan Chozen Bays MD,Length: 6 hrs and 6 mins
The Naughty Proposal!,Shanaya Taneja,Length: 2 hrs and 27 mins
Walking in Zen Sitting in Zen,OSHO,Length: 26 hrs and 35 mins
Hemlock & Silver,T. Kingfisher,Length: 11 hrs and 50 mins
Indian Superfoods (Hindi Edition),Rujuta Diwekar,Length: 3 hrs and 40 mins
The Quantum Doctor,"Deepak Chopra - foreword,Amit Goswami",Length: 10 hrs and 36 mins
Boots Belts Berets,Tanushree Podder,Length: 6 hrs and 59 mins
Datta Anubhuti (Marathi Edition),Anand Kamat,Length: 4 hrs and 9 mins
"Ponniyin Selvan - Part 6 [The Son of Ponni, Part 6]",Kalki,Length: 13 hrs and 40 mins
The Anne of Green Gables Collection,L.M. Montgomery,Length: 73 hrs and 19 mins
"No Mud, No Lotus",Thich Nhat Hanh,Length: 3 hrs and 36 mins
Poirot and Holmes,"Arthur Conan Doyle,Agatha Christie",Length: 95 hrs and 35 mins
"The Girl He Never Noticed, Part 2 (Hindi Edition)",Neilani Alejandrino,Length: 6 hrs and 42 mins
Everyday Osho,Osho,Length: 14 hrs and 8 mins
Leaders Eat Last,Simon Sinek,Length: 9 hrs and 23 mins
As a Man Thinketh (Tamil Edition),James Allen,Length: 1 hr and 9 mins
"Mahabharata, Vol. 2 (Part 1)",Bibek Debroy,Length: 6 hrs and 24 mins
"Summary of Men Are from Mars, Women Are from Venus (Hindi Edition)",Sarang Patwarddan,Length: 29 mins
Kadal Pura - Part 1,Sandilyan,Length: 10 hrs and 11 mins
Gauri (Hindi Edition),Subhadra Kumari Chauhan,Length: 3 hrs and 52 mins
How to Train a Wild Elephant & Other Adventures in Mindfulness,Jan Chozen Bays MD,Length: 6 hrs and 6 mins
The Naughty Proposal!,Shanaya Taneja,Length: 2 hrs and 27 mins
Walking in Zen Sitting in Zen,OSHO,Length: 26 hrs and 35 mins
